user_id,rating
8765,4
2349,3
6745,5
1298,2
7583,1
3401,5
9871,4
4617,2
1123,3
5638,4
8729,1
1984,5
7359,3
2894,2
6032,5
4763,4
8017,1
2148,5
3567,3
9672,2
4251,4
7396,3
1953,2
8134,1
5072,5
3819,3
6908,4
1294,2
6843,5
2387,3
5741,1
9026,4
1109,5
6312,2
2875,3
7659,4
4593,1
1987,3
8302,5
2431,2
3749,4
5867,3
9265,1
1358,5
4012,4
6819,2
2547,3
7173,5
3928,1
8146,4
1296,3
6340,2
9837,5
2389,4
5712,1
9021,3
1167,2
6723,5
3486,4
7591,3
2014,1
8237,5
4652,4
1278,2
6019,3
3865,5
9123,1
2371,4
6837,3
3490,2
7356,5
1292,4
5743,3
9087,1
1173,5
6628,4
3791,2
8026,3
2549,5
,5
7358,1
1973,4
8129,3
4931,2
6795,5
1307,4
5698,3
9065,1
1189,5
7676,
6763,4
3408,2
7542,3
2197,5
8320,1
4627,4
1935,3
8206,2
5873,5
2614,2
3741,1
