user_id,rating
7887,1
1826,3
6896,3
7932,1
7475,2
3955,2
1157,4
1368,2
3606,2
2614,2
3121,5
5737,4
3741,1
6426,4
2326,3
3663,1
9139,4
3273,3
1368,2
4514,4
8354,1
3260,5
9511,2
1272,1
1592,3
6982,1
8304,5
6344,2
9814,3
8938,3
2016,2
7491,4
2780,4
9811,2
2426,1
9476,1
7242,4
6470,2
1384,3
8654,4
3121,5
1854,4
2921,2
1132,5
7573,1
9218,4
8505,5
8373,2
7985,3
5347,4
3002,5
6306,5
5685,3
3813,4
4114,5
7926,2
5791,4
6458,3
5122,3
9265,3
6935,5
2614,1
5721,2
3120,4
7205,1
2546,3
5824,1
1826,5
3510,4
2351,4
3108,3
9912,2
3790,5
9139,3
2720,4
6457,5
9341,1
8582,3
2564,1
8846,
6103,4
5882,5
3481,3
2274,2
1222,5
5031,3
1014,2
7468,4
3490,4
1503,4
,4
9251,3
4914,1
2576,1
7202,5
1032,5
5678,2
5415,3
2843,2
3891,2
8673,5
